1800**43.7037**-79.4056** 474 Oriole Pkwy, Toronto, ON M5P 2H8
2726**43.640085812**-79.4355049235** Queen St, Toronto, ON M6K 2S1, Canada (Parkdale)
10951**43.6567255749**-79.36226464** Trefann St, Toronto, ON M5A 3A8, Canada (Downtown Toronto)
3800**43.6456**-79.3895** 50 John St, Toronto, ON M5V 3C6
1300**43.8516**-79.3267**  Upper Duke Crescent, Markham, ON L6G 0B6
2472**43.6488643202**-79.4065976262** Markham St, Toronto, ON M6J 1K9, Canada (Trinity-Bellwoods)
500**43.8004**-79.3383** 346 Apache Trail, Toronto, ON M2H 2W5
1699**43.6719**-79.3262** 31 Glenside Avenue, Toronto, ON M4L 2T5
1795**43.6201**-79.4839** 2269 Lake Shore Boulevard West, Toronto, ON M8V 1A6
2400**43.6413**-79.3917** 81 Navy Wharf Court, Toronto, ON M5V
935**43.6804**-79.3373** 5 Donlands Ave, Toronto, ON M4J 1M1
2822**43.6434634786**-79.4280315084** Gladstone Ave, Toronto, ON M6J 1J6, Canada (Little Portugal)
2235**43.6697399526**-79.3897607579** Bay St, Toronto, ON M5S 1Z6, Canada (Downtown Toronto)
1600**43.7097**-79.3827** 445 Eglinton Avenue East, Toronto, ON M4P 1N3
1463**43.6458040079**-79.4076942144** Richmond St, Toronto, ON M6J 1C4, Canada (Niagara)
796**43.614176822**-79.5977155792** Bloor St, Mississauga, ON L4Y 3H5, Canada
2147**43.7896657234**-79.4090134375** Cummer Avenue, Toronto, ON M2M 2E8, Canada (Newtonbrook)
855**43.5974333131**-79.524838526** Lake Shore Blvd, Toronto, ON M8W 1M8, Canada (Long Branch)
1350**43.6383868**-79.400921**  169 Fort York Blvd Toronto ON CA (Bathurst and Fort York)
1650**43.6829312**-79.4195342**  Raglan Avenue At St Clair W Toronto ON CA (Bathurst and St Clair W)
1150**43.655223**-79.413873**  College At Clinton Toronto On CA (college and clinton)
2500**43.746706**-79.4403673**  Yeomans Rd At York Downs Toronto ON CA (Bathurst and Sheppard)
1400**43.7307572**-79.2738699**  Rosemount Ave At Eglinton &amp; Kennedy Toronto On CA (Eglinton &amp; Kennedy)
2650**43.6348622**-79.4257667**  Springhurst At Dufferin Toronto On CA (All Incl.)
1700**43.7209017**-79.411845**  451 Rosewell Avenue Toronto On CA (451 rosewell avenue)
1700**43.6619709**-79.4256122**  Bloor St . West At Ossington Toronto ON CA (Bloor &amp; Ossington)
1600**43.6616006**-79.3861183**  832 Bay Street Toronto On CA (832 Bay Street)
2400**43.6430505**-79.3916429**  361 W Front St. Toronto ON CA (361 Front St. W)
1600**43.6461955**-79.4234257**  Dovercourt Road At Argyle Street Toronto On CA (QUEEN and DOVERCOURT, 183 Dovercourt Rd)
1400**43.6410676**-79.4001696**  560 Front Street West Suite 425 Toronto ON CA (560 Front Street West Suite 425)
2325**43.6499348**-79.4012635**  49 DENISON AVENUE TORONTO ON CA (49 DENISON AVENUE north of Queen Street)
2100**43.6400366**-79.3956471**  42 Fort York Blvd. Toronto ON CA (TORONTO)
2100**43.6755335**-79.402189**  359 DAVENPORT ROAD TORONTO ON CA (359 DAVENPORT ROAD just south of Dupont)
1750**43.7574405**-79.4084752**  20 Harrison Garden Blvd. Toronto ON CA (Sheppard-Yonge)
600**43.6707639**-79.4528224**  1839 Davenport Road Toronto ON CA (Davenport Road and Symington Avenue )
1500**43.6400366**-79.3956471**  42 Fort York Blvd. Toronto ON CA (Toronto)
1400**43.7574405**-79.4084752**  20 Harrison Garden Blvd. Toronto ON CA (North York)
1800**43.6434965**-79.4223664**  Dovercourt At Queen Street West Toronto ON CA (8 Dovercourt)
700**43.6201163**-79.6019983**   1355 Silver Spears Road Ontario ON CA (Mississauga)
725**43.6404706**-79.3917336**  10 Navy Wharf Court Ontario,  ON CA (toronto)
2400**43.6780033**-79.4430966**  St. Clair At Dufferin TORONTO ON CA (30 Glenholme Avenue, 2nd Floor)
1675**43.671376**-79.3259436**  Gerrard At Glenside Toronto ON CA (gerrard and greenwood)
1475**43.6695352**-79.3060784**  223 Woodbine Ave Toronto On CA (2 bdrm)
1750**43.7573228**-79.406773**  5 Everson Dr Toronto ON CA (North York)
660**43.6877195**-79.3397595**   336 Mortimer Ave. Toronto ON CA (336 Mortimer Ave., Toronto)
960**43.666165**-79.33428**  JONES AVE. At DUNDAS ST. EAST TORONTO ON CA (JONES AVE.  &amp;  DUNDAS ST. EAST )
1100**43.7107938**-79.3927591**  117 Broadway Avenue  Toronto ON CA (117 Broadway Avenue)
795**43.6994013**-79.4759395**  2110 Keele Street Toronto ON CA (2110 Keele Street)
1800**43.6533757**-79.369116**  Richmond Street East At Sherbourne Toronto ON CA (323 Richmond St (Richmond and Sherbourne)
1854**43.6385183**-79.3892489**  350 Queens Quay West Toronto ON CA (350 Queens Quay W)
1850**43.6828332**-79.3130002**  Merrill At Moberly Toronto ON CA (Woodbine &amp; Danforth)
690**43.6833779**-79.3236149**  Coxwell At Danforth Toronto On CA (Coxwell / Danforth)
1500**43.661228**-79.3722185**  Gerrard At Sherbourne Toronto ON CA (Gerrard/Sherbourne)
3300**43.6962325**-79.3960546**  20 Merton Toronto ON CA (Yonge/Merton)
1495**43.6986677**-79.3933703**  77 Davisville Avenue Toronto ON CA (Yonge and Davisville)
1450**43.6382267**-79.4308211**  King West At Spencer Toronto On CA (Parkdale)
2350**43.6853479**-79.3930809**  1 Balmoral Avenue Toronto ON CA (1 Balmoral Avenue)
1324**43.7095806**-79.3985608**  3 Broadway Toronto ON CA (Yonge &amp; Eglinton)
1200**43.6676959**-79.4305967**  415 Delaware Ave. Toronto ON CA (416)
2900**43.7039228**-79.3950137**  87 Hillsdale Avenue East Toronto On CA (Short Term Lease)
2595**43.7021258**-79.3780234**  64 Cleveland St  Toronto ON CA (64 Cleveland St )
1575**43.6366829**-79.4001831**  600 Fleet St Toronto ON CA (Bathurst and LakeShore)
1700**43.7156567**-79.3684744**  534 Broadway Ave Toronto ON CA (Short Term)
600**43.8078512**-79.2805277**  36 Toronto ON CA (Weston Rd &amp; 401)
2000**43.6735362**-79.4317679**  76 SOMERSET AVE TORONTO ON CA (OSSINGTON/DAVENPORT)
600**43.6618848**-79.3722284**   321 Sherbourne Street Toronto ON CA ( 321 Sherbourne Street, Toronto)
1700**43.6441959**-79.4265179**  47 Northcote Ave Toronto ON CA (all inclusive)
2300**43.6671961**-79.4317067**  Hallam St At Dovercourt Toronto ON CA (Bloor and Dovercourt)
2550**43.7055979**-79.3974508**  2191 Yonge  Toronto ON CA ( 2191 Yonge St L14 )
1800**43.7268307**-79.430552**  85 Marmion Ave TORONTO ON CA (85 MARMION AVE)
800**43.7349392**-79.2500994**  21 NESTON AVENUE TORONTO ON CA (21 NESTON AVENUE, TORONTO)
499**43.659967**-79.435482**  Dufferin At Bloor And Dufferin  Toronto On CA (Bloor &amp; Dufferin)
2400**43.6752902**-79.3890219**  980 Yonge St Toronto ON CA (980 Yonge St )
2950**43.6428545**-79.3802562**  55 Bremner Blvd Toronto  ON CA (short term/long)
2300**43.7461666**-79.2327528**  21 Nelson Street Toronto On CA (21 Nelson Street)
1750**43.6425475**-79.3776422**  33 Bay Street Toronto On CA (33 Bay Street)
1359**43.5785843**-79.613011**  2503 Hurontario Street Mississauga Ontario CA (Hurontario and Dundas, Mississauga)
1900**43.5993449**-79.5119092**  3076 Lakeshore Blvd West Toronto ON CA (3076 Lakeshore Blvd West)
895**43.6961129**-79.3995835**  17-25 Lascelles Blvd Toronto ON CA (Yonge and Davisville)
1235**43.7079019**-79.4270687**  660 Briar Hill Ave Toronto ON CA (Bathurst and Eglinton:Old Forest Hill)
600**43.670824**-79.3842683**  8 Park Road Toronto ON CA (8 Park Road, Toronto)
14000**43.7588194**-79.3774148**  88 Old Colony Road Toronto ON CA (Bayview &amp; York Mills)
1550**43.6392606**-79.4108647**  East Liberty At Strachan Toronto On CA (King &amp; Strachan)
2400**43.7118205**-79.3915989**  900 Mount Pleasant Road Toronto On CA (900 Mount Pleasant Road)
3050**43.6857177**-79.4128054**  400 Walmer Road Toronto ON CA (400 Walmer Road, Toronto, ON M5P 2X7)
969**43.685344**-79.4187415**  31 Tichester Road York ON CA (Downtown Toronto - Bathurst &amp; St. Clair Ave.)
1150**43.6659621**-79.4610589**  49 Hook Toronto On CA (Keele St. / Dundas. St. West)
1500**43.7797581**-79.4155685**  Yonge At Finch Toronto On CA (Yonge/Finch)
800**43.68804**-79.3006319**  2575 Danforth AVe Toronto ON CA (2575 Danforth Avenue, Toronto ON M4C 1L5)
2700**43.7700361**-79.3921725**  357 HOLLYWOOD AVE.  TORONTO ON CA (BAYVIEW VILLAGE)
2300**43.6425475**-79.3776422**  33 Bay Street Toronto On CA (33 Bay Street)
1625**43.6857177**-79.4128054**  400 Walmer Road Toronto ON CA (400 Walmer Road)
950**43.6429116**-79.5226387**  Islington Ave At Meadowvale Drive Toronto On CA (Bloor and Islington)
1950**43.6421399**-79.377466**  Bay St At Harbour St Toronto ON CA (Financial District)
1400**43.6696008**-79.3850657**  35 Hayden St Toronto On CA (Bloor Street Neighbourhood)
2000**43.6369561**-79.4708118**  103 The Queensway Toronto Ont CA (103 The Queensway)
1000**43.6684692**-79.4390163**  Dupont At Dufferin Toronto ON CA (s)
1500**43.6430784**-79.3801168**  55 Bremner Blvd. &amp; 65 Bremner Blvd. At York Street M5J 0A6 Tor On CA (VIDEO)
1995**43.6747319**-79.388752**  942 Yonge Street Toronto ON CA (Yonge &amp; Bloor)
2250**43.6700937**-79.3804601**  110 Charles Street East Toronto ON CA (110 Charles Street East)
1550**43.6215407**-79.4825858**  2230 Lake Shore Blvd Toronto ON CA (Lake Shore &amp; Park Lawn)
2800**43.6431164**-79.3804093**  55 Bremner Blvd. At York Street - 55 Bremner Blvd. &amp; 65 Bremner Blvd. M5J 0A TOR ON CA (VIDEO)
1500**43.473764**-79.723802**  2563 Sixth Line Oakville ON CA (Oakville)
1300**43.5988432**-79.5139441**  31 Fifteenth Street Toronto ON CA (31 Fifteenth Street, Toronto)
1100**43.7645227**-79.2060337**  30 Northfield Road Scarborough On CA (Canada)
1700**43.5313**-79.6882**  Windjammer Rd, Mississauga, ON L5L
750**43.6038**-79.7008**  Windbrook Grove, Mississauga, ON L5V 2T1
1950**43.7890661**-79.4523688**  90 Fisherville Rd Toronto O CA (90 fisherville rd)
7995**43.8078512**-79.2805277**  308 Toronto ON CA (308 Wellesley St E)
1695**43.6713217**-79.3415259**  310 Riverdale Avenue Toronto On CA (dependent upon consumption of course)
1450**43.7734963**-79.3589637**  10 Bloorview Place Toronto On CA (10 Bloorview)
1795**43.6561801**-79.4273788**  Dewson Street At College / Dovercourt Toronto ON CA (COLLEGE / DOVERCOURT)
925**43.6789024**-79.3448606**  Pape Avenue At Danforth Avenue Toronto ON CA (PAPE SUBWAY)
800**43.65716**-79.4482541**  1427 Bloor Street West Toronto ON CA (Bloor line)
750**43.6707**-79.4532727**  Symington Avenue At Davenport Toronto ON CA (Lansdowne &amp; Davenport)
1295**43.6669306**-79.4328933**  Westmoreland Ave At Hallam Toronto ON CA (Westmoreland ave near Bloor)
500**43.8004**-79.3383** 346 Apache Trail, Toronto, ON M2H 2W5
2395**43.4969742**-79.7043254**  1283 Jezero Crescent Oakville ON CA (1283 Jezero Cres, Oakville)
1575**43.7488757**-79.2046501**  10 Guildwood Parkway Scarborough On CA (Kingston Rd &amp; Guildwood Pkwy)
1950**43.661228**-79.3722185**  Gerrard At Sherbourne Toronto ON CA (Gerrard/ Sherbourne)
1650**43.6547637**-79.3791316**  210 Victoria St. Toronto Ont CA (bedroom + den)
2000**43.7615302**-79.4108318**  Yonge At Sheppard North York ON CA (17 Anndale Dr)
1980**43.7615302**-79.4108318**  Yonge At Sheppard Tonroto ON CA (Yonge and Sheppard)
2100**43.7521644**-79.2227603**  466 Markham Toronto ON CA (466 markham)
1500**43.6610592**-79.3400698**  Carlaw At Queen Toronto On CA (Leslieville)
1450**43.661297**-79.3818721**  25 Carlton Street Toronto ON CA (By College Subway)
1275**43.6675579**-79.3883139**  1101 Bay Street Toronto On CA (BAY AND BLOOR)
1399**43.5896554**-79.6475804**  365 Prince Of Wales Drive Mississauga ON CA (Lime Light Buildings)
1350**43.5878084**-79.6396141**  225 Webb Drive Mississauga ON CA (Square One)
1550**43.720583**-79.61223**  Rexdale Blvd At Humberwood Blvd Toronto Ont CA (Woodbine Center, M9W 7J4)
1400**43.7810652**-79.4143043**  3 Pemberton Ave Toronto ON CA (3 Pemberton)
895**43.785918**-79.4460884**  Bathurst At Rockford Toronto On CA (BATHURST/STEELES)
800**43.748171**-79.2103298**  Gatesview Avenue At Scarborough Golf Club Road Scarborough ON CA (Toronto)
700**43.678433**-79.4232285**  Tyrrel At Slade Toronto ON CA (Christie and St. Clair)
2650**43.6693545**-79.3877377**  35 Balmuto Street Toronto ON CA (Yorkville)
1680**43.649556**-79.3596791**  70 Distillery Lane Toronto On CA (70 Distilley Lane)
775**43.6596512**-79.4364685**  Russett Ave At Bloor St.w Toronto On CA (Bloor and Dufferin)
1600**43.652496**-79.3789312**  1481 1/2 Queen St. E Toronto ON CA (E2538155)
1450**43.6601526**-79.3648897**  25 Cole St Toronto ON CA (25 Cole St)
1550**43.663674**-79.3806427**  70 Alexander Street Toronto On CA (70 Alexander )
1250**43.6867359**-79.4120492**  368 Spadina Rd Toronto On CA (368 Spadina Rd)
1199**43.6495558**-79.4297807**  Gladstone At Dundas West Toronto ON CA (Little Portugal; Dundas West &amp; Gladstone/Dufferin)
1275**43.675573**-79.403616**  Dupont Street At St George Toronto ON CA (Dupont and St George)
1300**43.72384**-79.6159214**  710 Humberwood Blvd  Toronto ON CA (710 Humberwood Blvd, Toronto)
1450**43.6404366**-79.4240836**  38 Joe Shuster Way Toronto ON CA (38 Joe Shuster Way)
975**43.6808588**-79.3107786**  Beach View Crescent At Woodbine And Gerrard Toronto Ont CA (upper beaches)
2500**43.6428545**-79.3802562**  55 Bremner Blvd Toronto ON CA (Washer/Dryer, Fridge, Stove, Dishwasher, Micro wave)
1600**43.5355526**-79.6675886**  Dundas At 6 Line OAKVILLE ON CA (OAKVILLE)
700**43.5892557**-79.7048453**  1576 Willowway Mississauga On CA (Bristol/Creditview)
1349**43.6631119**-79.430019**  808 Dovercourt Rd Toronto ON CA (Bloor and Dovercourt)
4500**43.7565366**-79.4063121**  80 Harrison Garden Toronto On CA (yonge and 401)
1100**43.6415187**-79.4053353**  139 Niagara St. Toronto ON CA ((King West)
2395**43.647527**-79.3986301**  500 Richmond St W Toronto On CA (Richmond/Spadina)
1400**43.665042**-79.411358**  Palmerston At Bathurst/Bloor Toronto ON CA (Bathurst/Bloor)
1750**43.6577328**-79.3835201**  38 Elm Street Toronto ON CA (2000-38 Elm Street, Toronto, ON)
1600**43.637661**-79.397551**  38 Dan Lackie Way Toronto ON CA (Lakeshore and Spadina)
1650**43.6420294**-79.4119565**  King At Strachan Toronto ON CA (65 East Liberty St)
1500**43.7803063**-79.4183286**  25 Greenview Toronto On CA (yong &amp; finch)
2300**43.640609**-79.3931513**  Bremner At Spadina Toronto ON CA (3 Navy Wharf Court)
1500**43.7565456**-79.4080909**  30 HARRISON GARDEN BLVD NORTH YORK On CA (YONGE/SHEPPARD)
1600**43.6368142**-79.4054185**  231 Fort York Blvd.,  Toronto ON CA (Bathurst/Lakeshore)
2100**43.6371556**-79.4063733**  215 Fort York Blvd Toronto ON CA (King West)
1550**43.6385822**-79.4138921**  59 East Liberty Street Toronto ON CA (Strachan / East Liberty)
720**43.680402**-79.3372689**  Donlands At Danforth Toronto ON CA (Danforth/Donlands)
1700**43.663952**-79.3836229**  25 Maitland Street Toronto (downtown) ON CA (Yonge / Maitland)
2000**43.5866826**-79.6431918**  Burnhamthorpe At Living Arts Mississauga ON CA (Mississauga)
1650**43.651689**-79.4110517**  295 Manning Avenue Toronto ON CA (College and Bathurst)
1525**43.6242229**-79.4841009**  88 Parklawn Road Toronto ON CA (88 Parklawn)
1475**43.6230348**-79.4811989**  ParkLawn At Lake Shore Toronto ON CA (South Etobicoke)
1700**43.5660667**-79.6328838**  Mavis At Dundas Mississauga ON CA (Mississauga)
499**43.659967**-79.435482**  Dufferin At Bloor And Dufferin Toronto On CA (Dufferin)
1699**43.590714**-79.648582**  Living Arts At Square Dr Mississauga ON CA (Mississauga)
1625**43.6393861**-79.383725**  230 Queens Quay West Toronto ON CA (Queens Quay / York st)
1550**43.6695181**-79.3632695**  453 Wellesley Toronto ON CA (Cabbagetown)
2500**43.6428614**-79.380732**  65 Bremner Toronto ON CA (65 Bremner)
1375**43.620533**-79.4832758**  LEGION ROAD At LAKESHORE TORONTO ON CA (165 LEGION ROAD)
1225**43.6743675**-79.4069188**  176 Spadina Road Toronto M5 CA (176 Spadina road)
4400**43.6489585**-79.3855739**  180 University Toronto ON CA (Shangri La)
4500**43.6575159**-79.3769152**  155 Dalhousie Toronto ON CA (Church &amp; Dundas)
800**43.7610617**-79.2484448**  22 Kencliff Scarborough On CA (22 kencliff cres)
1450**43.622784**-79.4812**  LAKESHORE At PARKLAWN TORONTO ON CA (2230 LAKESHORE BLVD W)
1650**43.646076**-79.409565**  Claremont ST. At Queen And Bathurst Toronto ON CA (Claremont St.)
2350**43.6385882**-79.4168285**  75 East Liberty St. Toronto ON CA (Liberty Market)
1650**43.6656634**-79.4086432**  Howland Ave At Bloor St Toronto ON CA (BLOOR / Spadina)
1800**43.6360902**-79.4651817**  Lakeshore At Ellis Toronto ON CA (Ellis/Lakeshore)
2290**43.6420294**-79.4119565**  King At Strachan Toronto ON CA (5 Hanna Ave)
1950**43.8500255**-79.4974923**  78 Mahogany Forest Drive Maple ON CA (78 Mahogany Forest Drive, Vaughan, ON L6)
895**43.6528845**-79.4297279**  Rusholme Park Cres. At College And Dovercourt Toronto ON CA (Rusholme Park Cres.)
580**43.6655086**-79.4721067**  Quebec Avenue At Dundas St. W. Toronto ON CA (Dundas St. W. &amp; Highpark Ave.)
2100**43.6338102**-79.3999138**  32 Stadium Rd. Toronto ON CA (32 Stadium Rd.)
1250**43.6190335**-79.4913484**  4 Cavell Ave Etobicoke On CA (Parklawn/Lakeshore)
1650**43.6371556**-79.4063733**  215 Fort York Blvd Toronto On CA (215 Fort York Blvd)
1900**43.664045**-79.402898**  666 Spadina Ave Toronto On CA (666 spadina ave)
1700**43.6244929**-79.488918**  165 Legion RD Toronto ON CA (165 Legion Rd)
2400**43.6395361**-79.3794782**  77 Harbour Square Toronto ON CA (77 Harbour Sq)
1600**43.6419548**-79.4258469**  1171 Queen St W Toronto On CA (Canada)
1800**43.6244929**-79.488918**  155 Legion Rd Toronto On CA (155 Legion Rd. )
1600**43.4439105**-79.6708101**  185 Oakville On CA (Robinson and Navy)
1299**43.7558301**-79.3471397**  Graydon Hall At Don Mills And York Mills Road North York On CA (Don Mills and York Mills)
1575**43.644197**-79.3758602**  YONGE ST At LAKESHORE BLVD TORONTO ON CA (DOWNTOWN TORONTO)
3400**43.6934033**-79.3847453**  368 Mount Pleasant Toronto ON CA (368 Mount Pleasant)
2900**43.6416675**-79.4144478**  1000 King St. West Toronto ON CA (1000 King St. W)
